county,lat_mdpt,lon_mdpt
Albany,42.588271,-73.974014
Allegany,42.247894,-78.026176
Bronx,40.848711,-73.852939
Broome,42.161977,-75.830291
Cattaraugus,42.244853,-78.681006
Cayuga,43.008546,-76.574587
Chautauqua,42.304216,-79.407595
Chemung,42.155281,-76.747179
Chenango,42.489732,-75.604905
Clinton,44.75271,-73.705648
Columbia,42.247729,-73.626805
Cortland,42.593824,-76.076265
Delaware,42.193987,-74.966728
Dutchess,41.755009,-73.739951
Erie,42.752759,-78.778192
Essex,44.108971,-73.777573
Franklin,44.594374,-74.31067
Fulton,43.115609,-74.423678
Genesee,43.00091,-78.192778
Greene,42.286951,-74.149495
Hamilton,43.657879,-74.502456
Herkimer,43.461635,-74.894694
Jefferson,43.995371,-76.053522
Kings,40.635133,-73.950777
Lewis,43.786397,-75.442617
Livingston,42.727485,-77.76978
Madison,42.910026,-75.663575
Monroe,43.264475,-77.664656
Montgomery,42.900891,-74.435358
Nassau,40.729687,-73.589384
New York,40.776557,-73.970174
Niagara,43.256731,-78.792143
Oneida,43.242727,-75.434282
Onondaga,43.10653,-76.196117
Ontario,42.856695,-77.303277
Orange,41.40241,-74.306252
Orleans,43.302287,-78.229726
Oswego,43.461443,-76.209258
Otsego,42.629776,-75.028841
Putnam,41.427904,-73.743882
Queens,40.658557,-73.837929
Rensselaer,42.710421,-73.513845
Richmond,40.563855,-74.137063
Rockland,41.154785,-74.024772
St. Lawrence,44.488113,-75.074311
Saratoga,43.106135,-73.855387
Schenectady,42.817542,-74.043583
Schoharie,42.591294,-74.438172
Schuyler,42.419776,-76.938604
Seneca,42.782294,-76.827088
Steuben,42.266725,-77.385525
Suffolk,40.943554,-72.692218
Sullivan,41.720176,-74.76468
Tioga,42.178057,-76.29745
Tompkins,42.453281,-76.273712
Ulster,41.947232,-74.265447
Warren,43.555105,-73.838139
Washington,43.312377,-73.439428
Wayne,43.258758,-77.063164
Westchester,41.15277,-73.745912
Wyoming,42.701363,-78.228567
Yates,42.638237,-77.104324
